collection,transcript,reason
Eng-NA,Braunwald/0diary/010813.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010814.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010815.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010816.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010817.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010818.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010819.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010820.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010821.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010822.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010823.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010824.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010825.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010826.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010827.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010828.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010829.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010830.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010900.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010901.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010902.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010903.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010904.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010905.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010906.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010907.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010908.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010909.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010910.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010911.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010912.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010913.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010914.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010915.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010916.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010917.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010918.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010919.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010921.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010922.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010923.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010924.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010925.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010926.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010927.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010928.cha,weak_text_identity
Eng-NA,Braunwald/0diary/010929.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011000.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011001.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011002.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011003.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011004.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011005.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011006.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011007.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011008.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011009.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011010.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011011.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011012.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011013.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011014.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011015.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011016.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011017.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011018.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011019.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011020.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011021.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011022.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011023.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011024.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011025.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011026.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011027.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011028.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011029.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011100.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011101.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011102.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011103.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011104.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011105.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011106.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011107.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011108.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011109.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011110.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011111.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011112.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011113.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011114.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011115.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011116.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011117.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011118.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011119.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011120.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011121.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011122.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011123.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011124.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011125.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011126.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011127.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011128.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011129.cha,weak_text_identity
Eng-NA,Braunwald/0diary/011130.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020000.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020001.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020002.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020004.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020005.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020006.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020007.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020008.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020009.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020010.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020011.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020012.cha,weak_text_identity
Eng-NA,Braunwald/0diary/020013.cha,weak_text_identity
