original_transcript_id,n_current_transcripts,current_transcripts
10892,2,NewmanRatner/10/5837JK.cha;NewmanRatner/Interviews/10/5837JK.cha
10893,2,NewmanRatner/10/5859ME.cha;NewmanRatner/Interviews/10/5859ME.cha
10896,2,NewmanRatner/10/5923MW.cha;NewmanRatner/Interviews/10/5923MW.cha
10901,2,NewmanRatner/10/5949DL.cha;NewmanRatner/Interviews/10/5949DL.cha
10902,2,NewmanRatner/10/5977QJ.cha;NewmanRatner/Interviews/10/5977QJ.cha
10904,2,NewmanRatner/10/6043AM.cha;NewmanRatner/Interviews/10/6043AM.cha
10912,2,NewmanRatner/10/6314AK.cha;NewmanRatner/Interviews/10/6314AK.cha
10915,2,NewmanRatner/10/6453HS.cha;NewmanRatner/Interviews/10/6453HS.cha
10917,2,NewmanRatner/10/6757JC.cha;NewmanRatner/Interviews/10/6757JC.cha
10918,2,NewmanRatner/10/6598JM.cha;NewmanRatner/Interviews/10/6598JM.cha
10919,2,NewmanRatner/10/6630TM.cha;NewmanRatner/Interviews/10/6630TM.cha
10924,2,NewmanRatner/10/6878SK.cha;NewmanRatner/Interviews/10/6878SK.cha
10925,2,NewmanRatner/10/7099EH.cha;NewmanRatner/Interviews/10/7099EH.cha
10926,2,NewmanRatner/10/6826LD.cha;NewmanRatner/Interviews/10/6826LD.cha
10928,2,NewmanRatner/10/6815KG.cha;NewmanRatner/Interviews/10/6815KG.cha
10929,2,NewmanRatner/10/6825MT.cha;NewmanRatner/Interviews/10/6825MT.cha
10930,2,NewmanRatner/10/7061AS.cha;NewmanRatner/Interviews/10/7061AS.cha
10934,2,NewmanRatner/10/7162MB.cha;NewmanRatner/Interviews/10/7162MB.cha
10935,2,NewmanRatner/10/7183TB.cha;NewmanRatner/Interviews/10/7183TB.cha
10939,2,NewmanRatner/10/7419EB.cha;NewmanRatner/Interviews/10/7419EB.cha
10943,2,NewmanRatner/10/7660HK.cha;NewmanRatner/Interviews/10/7660HK.cha
10945,2,NewmanRatner/11/4269LP.cha;NewmanRatner/Interviews/11/4269LP.cha
10947,2,NewmanRatner/11/4452CM.cha;NewmanRatner/Interviews/11/4452CM.cha
10949,2,NewmanRatner/11/4619WZ.cha;NewmanRatner/Interviews/11/4619WZ.cha
10950,2,NewmanRatner/11/4629AB.cha;NewmanRatner/Interviews/11/4629AB.cha
10951,2,NewmanRatner/11/4641CC.cha;NewmanRatner/Interviews/11/4641CC.cha
10952,2,NewmanRatner/11/4650KS.cha;NewmanRatner/Interviews/11/4650KS.cha
10953,2,NewmanRatner/11/4664AM.cha;NewmanRatner/Interviews/11/4664AM.cha
10954,2,NewmanRatner/11/4687NH.cha;NewmanRatner/Interviews/11/4687NH.cha
10955,2,NewmanRatner/11/4697JK.cha;NewmanRatner/Interviews/11/4697JK.cha
10957,2,NewmanRatner/11/4708IB.cha;NewmanRatner/Interviews/11/4708IB.cha
10958,2,NewmanRatner/11/4734ES.cha;NewmanRatner/Interviews/11/4734ES.cha
10959,2,NewmanRatner/11/4731SA.cha;NewmanRatner/Interviews/11/4731SA.cha
10960,2,NewmanRatner/11/4743NA.cha;NewmanRatner/Interviews/11/4743NA.cha
10961,2,NewmanRatner/11/4767JC.cha;NewmanRatner/Interviews/11/4767JC.cha
10962,2,NewmanRatner/11/4801RB.cha;NewmanRatner/Interviews/11/4801RB.cha
10963,2,NewmanRatner/11/4802JP.cha;NewmanRatner/Interviews/11/4802JP.cha
10964,2,NewmanRatner/11/4814BS.cha;NewmanRatner/Interviews/11/4814BS.cha
10966,2,NewmanRatner/11/4825GG.cha;NewmanRatner/Interviews/11/4825GG.cha
10967,2,NewmanRatner/11/4858CM.cha;NewmanRatner/Interviews/11/4858CM.cha
