original_corpus,n_utterances_total,n_utterances_age_usable,n_utterances_age_le_96,n_utterances_age_gt_96,n_utterances_age_missing_or_invalid,exact_archive_ids,leaf_archive_ids,mapping_status,candidate_archive_count,candidate_archive_ids,represented_in_current_manifest,mapping_ambiguous
Flusberg,35494,35494,34647,847,0,Clinical-Eng/Flusberg.zip,Clinical-Eng/Flusberg.zip,exact_source_corpus_match,1,Clinical-Eng/Flusberg.zip,True,False
Forrester,10459,10459,10459,0,0,Eng-UK/Forrester.zip,Eng-UK/Forrester.zip,exact_source_corpus_match,1,Eng-UK/Forrester.zip,True,False
GNP,16849,16849,16849,0,0,,,not_represented,0,,False,False
Garvey,9,0,0,0,9,Eng-NA/Garvey.zip,Eng-NA/Garvey.zip,exact_source_corpus_match,1,Eng-NA/Garvey.zip,True,False
Gathburn,13993,0,0,0,13993,Eng-UK/Gathburn.zip,Eng-UK/Gathburn.zip,exact_source_corpus_match,1,Eng-UK/Gathburn.zip,True,False
Gathercole,2820,0,0,0,2820,Eng-NA/Gathercole.zip,Eng-NA/Gathercole.zip,exact_source_corpus_match,1,Eng-NA/Gathercole.zip,True,False
Gelman,167299,100500,100500,0,66799,Eng-NA/Gelman.zip,Eng-NA/Gelman.zip,exact_source_corpus_match,1,Eng-NA/Gelman.zip,True,False
Gillam,2775,2775,1679,1096,0,Clinical-Eng/Gillam.zip,Clinical-Eng/Gillam.zip,exact_source_corpus_match,1,Clinical-Eng/Gillam.zip,True,False
Gleason,39879,39164,39164,0,715,Eng-NA/Gleason.zip,Eng-NA/Gleason.zip,exact_source_corpus_match,1,Eng-NA/Gleason.zip,True,False
Goga,180,86,86,0,94,,,not_represented,0,,False,False
Gopnik,6387,4968,4968,0,1419,,,not_represented,0,,False,False
HL,69975,69975,69436,539,0,,Clinical-Eng/Ambrose/HL.zip;Clinical-Eng/Nicholas/HL.zip,ambiguous_leaf_match,2,Clinical-Eng/Ambrose/HL.zip;Clinical-Eng/Nicholas/HL.zip,True,True
HSLLD,202901,201589,174228,27361,1312,Eng-NA/HSLLD.zip,Eng-NA/HSLLD.zip,exact_source_corpus_match,1,Eng-NA/HSLLD.zip,True,False
Hacohen,3004,3004,3004,0,0,,,not_represented,0,,False,False
