collection,corpus,transcript,original_transcript_id,status,unique_matching_utterances,runner_up_matches,total_matching_utterances,original_target_child,original_age_months,original_n_utterances,chat_target_child,chat_age_months,original_id_used_by_multiple_current_transcripts,original_age_raw,original_metadata_join,current_age_raw,current_age_status,parse_status,current_metadata_join,current_age_months,original_age_usable,current_age_usable,age_combination,absolute_age_difference_months,age_conflict_gt_0_1_month
Eng-NA,Rollins,Rollins/im09.cha,4606,high_confidence_text_match,24,1,25,NA,9.00018480872297,362,,,False,9.00018480872297,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Rollins,Rollins/im12.cha,4610,high_confidence_text_match,11,0,11,NA,12.0002464116306,371,,,False,12.0002464116306,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Rollins,Rollins/me09.cha,4641,high_confidence_text_match,5,0,5,NA,9.00018480872297,547,,,False,9.00018480872297,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Rollins,Rollins/me12.cha,4647,high_confidence_text_match,9,0,9,NA,12.0002464116306,563,,,False,12.0002464116306,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Snow,Snow/021100c.cha,11317,high_confidence_text_match,28,0,28,Nathaniel,32.6248998952751,414,,,True,32.6248998952751,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Snow,Snow/030409c.cha,11336,high_confidence_text_match,52,0,52,Nathaniel,40.2965153288569,696,,,True,40.2965153288569,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-NA,Snow,Snow/030418c.cha,11344,high_confidence_text_match,11,0,11,Nathaniel,40.6907739378632,767,,,True,40.6907739378632,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
Eng-UK,MPI-EVA-Manchester,MPI-EVA-Manchester/Helen/030906.cha,25288,high_confidence_text_match,13,1,14,Fraser,30.0991806813282,1074,CHI,,True,30.0991806813282,both,,missing_age,parsed,both,,True,False,original_usable_current_missing,,False
Eng-UK,MPI-EVA-Manchester,MPI-EVA-Manchester/Helen/040007.cha,25384,high_confidence_text_match,15,1,18,Fraser,36.9535308733239,926,CHI,,True,36.9535308733239,both,,missing_age,parsed,both,,True,False,original_usable_current_missing,,False
Eng-UK,Tommerdahl,Tommerdahl/OMS2.cha,24119,high_confidence_text_match,31,0,31,NA,39.0008008377995,201,,,False,39.0008008377995,both,,missing_target,parsed,both,,True,False,original_usable_current_missing,,False
